2026-05-22 13:43:52 | INFO     | api.main:predict:133 | Prediction request — airline=IndiGo is_business=0 month=2
2026-05-22 13:43:52 | INFO     | api.main:predict:158 | Prediction complete — price=2098.69 INR
2026-05-22 13:43:52 | INFO     | api.main:predict:133 | Prediction request — airline=SpiceJet is_business=0 month=2
2026-05-22 13:43:52 | INFO     | api.main:predict:158 | Prediction complete — price=7872.76 INR
2026-05-22 13:43:52 | INFO     | api.main:predict:133 | Prediction request — airline=GO FIRST is_business=0 month=2
2026-05-22 13:43:52 | INFO     | api.main:predict:158 | Prediction complete — price=4373.80 INR
2026-05-22 13:43:52 | INFO     | api.main:predict:133 | Prediction request — airline=Air India is_business=1 month=2
2026-05-22 13:43:52 | INFO     | api.main:predict:158 | Prediction complete — price=28470.88 INR
2026-05-22 13:43:52 | INFO     | api.main:predict:133 | Prediction request — airline=Vistara is_business=1 month=3
2026-05-22 13:43:52 | INFO     | api.main:predict:158 | Prediction complete — price=39423.60 INR
2026-05-22 13:43:52 | INFO     | api.main:predict:133 | Prediction request — airline=AirAsia is_business=0 month=3
2026-05-22 13:43:52 | INFO     | api.main:predict:158 | Prediction complete — price=3189.41 INR
2026-05-22 13:43:52 | INFO     | api.main:predict:133 | Prediction request — airline=GO FIRST is_business=0 month=2
2026-05-22 13:43:52 | INFO     | api.main:predict:158 | Prediction complete — price=5293.64 INR
2026-05-22 13:43:52 | INFO     | api.main:predict:133 | Prediction request — airline=GO FIRST is_business=0 month=3
2026-05-22 13:43:52 | INFO     | api.main:predict:158 | Prediction complete — price=6444.04 INR
2026-05-22 13:43:52 | INFO     | api.main:predict:133 | Prediction request — airline=Air India is_business=1 month=2
2026-05-22 13:43:52 | INFO     | api.main:predict:158 | Prediction complete — price=62417.65 INR
2026-05-22 13:43:52 | INFO     | api.main:predict:133 | Prediction request — airline=SpiceJet is_business=0 month=3
2026-05-22 13:43:52 | INFO     | api.main:predict:158 | Prediction complete — price=5109.87 INR
2026-05-22 13:43:52 | INFO     | api.main:predict:133 | Prediction request — airline=GO FIRST is_business=0 month=3
2026-05-22 13:43:52 | INFO     | api.main:predict:158 | Prediction complete — price=2555.70 INR
2026-05-22 13:43:52 | INFO     | api.main:predict:133 | Prediction request — airline=GO FIRST is_business=0 month=2
2026-05-22 13:43:52 | INFO     | api.main:predict:158 | Prediction complete — price=7732.45 INR
2026-05-22 13:43:52 | INFO     | api.main:predict:133 | Prediction request — airline=Vistara is_business=1 month=3
2026-05-22 13:43:52 | INFO     | api.main:predict:158 | Prediction complete — price=22879.28 INR
2026-05-22 13:43:52 | INFO     | api.main:predict:133 | Prediction request — airline=SpiceJet is_business=0 month=2
2026-05-22 13:43:52 | INFO     | api.main:predict:158 | Prediction complete — price=8306.31 INR
2026-05-22 13:43:52 | INFO     | api.main:predict:133 | Prediction request — airline=Air India is_business=1 month=3
2026-05-22 13:43:52 | INFO     | api.main:predict:158 | Prediction complete — price=43530.91 INR
2026-05-22 13:43:52 | INFO     | api.main:predict:133 | Prediction request — airline=Air India is_business=1 month=3
2026-05-22 13:43:52 | INFO     | api.main:predict:158 | Prediction complete — price=26025.62 INR
2026-05-22 13:43:52 | INFO     | api.main:predict:133 | Prediction request — airline=Vistara is_business=1 month=3
2026-05-22 13:43:52 | INFO     | api.main:predict:158 | Prediction complete — price=75417.02 INR
2026-05-22 13:43:52 | INFO     | api.main:predict:133 | Prediction request — airline=Air India is_business=1 month=2
2026-05-22 13:43:52 | INFO     | api.main:predict:158 | Prediction complete — price=31390.91 INR
2026-05-22 13:43:52 | INFO     | api.main:predict:133 | Prediction request — airline=Air India is_business=1 month=2
2026-05-22 13:43:52 | INFO     | api.main:predict:158 | Prediction complete — price=39234.58 INR
2026-05-22 13:43:52 | INFO     | api.main:predict:133 | Prediction request — airline=AirAsia is_business=0 month=2
2026-05-22 13:43:52 | INFO     | api.main:predict:158 | Prediction complete — price=8010.94 INR
2026-05-22 13:43:52 | INFO     | api.main:predict:133 | Prediction request — airline=Air India is_business=1 month=2
2026-05-22 13:43:52 | INFO     | api.main:predict:158 | Prediction complete — price=45402.03 INR
2026-05-22 13:43:52 | INFO     | api.main:predict:133 | Prediction request — airline=Air India is_business=1 month=2
2026-05-22 13:43:52 | INFO     | api.main:predict:158 | Prediction complete — price=20920.95 INR
2026-05-22 13:43:52 | INFO     | api.main:predict:133 | Prediction request — airline=GO FIRST is_business=0 month=3
2026-05-22 13:43:52 | INFO     | api.main:predict:158 | Prediction complete — price=5112.42 INR
2026-05-22 13:43:52 | INFO     | api.main:predict:133 | Prediction request — airline=GO FIRST is_business=0 month=3
2026-05-22 13:43:52 | INFO     | api.main:predict:158 | Prediction complete — price=2431.78 INR
2026-05-22 13:43:52 | INFO     | api.main:predict:133 | Prediction request — airline=SpiceJet is_business=0 month=3
2026-05-22 13:43:52 | INFO     | api.main:predict:158 | Prediction complete — price=8287.28 INR
2026-05-22 13:43:52 | INFO     | api.main:predict:133 | Prediction request — airline=Air India is_business=1 month=2
2026-05-22 13:43:52 | INFO     | api.main:predict:158 | Prediction complete — price=36466.71 INR
2026-05-22 13:43:52 | INFO     | api.main:predict:133 | Prediction request — airline=AirAsia is_business=0 month=3
2026-05-22 13:43:52 | INFO     | api.main:predict:158 | Prediction complete — price=3128.92 INR
2026-05-22 13:43:52 | INFO     | api.main:predict:133 | Prediction request — airline=AirAsia is_business=0 month=3
2026-05-22 13:43:52 | INFO     | api.main:predict:158 | Prediction complete — price=3127.90 INR
2026-05-22 13:43:52 | INFO     | api.main:predict:133 | Prediction request — airline=Air India is_business=1 month=3
2026-05-22 13:43:52 | INFO     | api.main:predict:158 | Prediction complete — price=35931.26 INR
2026-05-22 13:43:52 | INFO     | api.main:predict:133 | Prediction request — airline=AirAsia is_business=0 month=2
2026-05-22 13:43:52 | INFO     | api.main:predict:158 | Prediction complete — price=7806.22 INR
2026-05-22 13:43:52 | INFO     | api.main:predict:133 | Prediction request — airline=Vistara is_business=1 month=3
2026-05-22 13:43:52 | INFO     | api.main:predict:158 | Prediction complete — price=57136.95 INR
